Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20231001,16297,S08000016,S37000025,Male,2535,87,292,281,726,691,280,136,42,0,,
20231001,16297,S08000016,S37000025,Female,2515,97,258,309,656,679,272,186,58,0,,
20231001,16297,S08000016,S37000025,All,5050,184,550,590,1382,1370,552,322,100,1,2515,2535
20231001,16475,S08000016,S37000025,Male,703,40,72,68,159,194,97,58,15,0,,
20231001,16475,S08000016,S37000025,Female,724,29,60,81,155,223,92,63,21,0,,
20231001,16475,S08000016,S37000025,All,1427,69,132,149,314,417,189,121,36,1,724,703
20231001,16507,S08000016,S37000025,Male,3250,118,367,314,726,884,481,301,59,0,,
20231001,16507,S08000016,S37000025,Female,3428,119,366,343,734,925,499,329,113,0,,
20231001,16507,S08000016,S37000025,All,6678,237,733,657,1460,1809,980,630,172,1,3428,3250
20231001,16545,S08000016,S37000025,Male,5726,245,560,528,1338,1642,776,489,148,0,,
20231001,16545,S08000016,S37000025,Female,5759,204,592,543,1310,1607,736,535,232,0,,
20231001,16545,S08000016,S37000025,All,11485,449,1152,1071,2648,3249,1512,1024,380,1,5759,5726
20231001,16550,S08000016,S37000025,Male,2380,89,323,262,465,742,299,167,33,0,,
20231001,16550,S08000016,S37000025,Female,2379,83,270,246,489,765,307,168,51,0,,
20231001,16550,S08000016,S37000025,All,4759,172,593,508,954,1507,606,335,84,1,2379,2380
20231001,16564,S08000016,S37000025,Male,1628,54,153,194,324,508,210,134,51,0,,
20231001,16564,S08000016,S37000025,Female,1641,54,144,162,304,511,219,170,77,0,,
20231001,16564,S08000016,S37000025,All,3269,108,297,356,628,1019,429,304,128,1,1641,1628
20231001,18057,S08000017,S37000006,Male,1602,75,161,172,381,465,188,121,39,0,,
20231001,18057,S08000017,S37000006,Female,1564,47,174,154,356,439,196,149,49,0,,
20231001,18057,S08000017,S37000006,All,3166,122,335,326,737,904,384,270,88,1,1564,1602
20231001,18095,S08000017,S37000006,Male,2227,87,279,258,487,603,287,182,44,0,,
20231001,18095,S08000017,S37000006,Female,2264,97,229,222,506,615,291,221,83,0,,
20231001,18095,S08000017,S37000006,All,4491,184,508,480,993,1218,578,403,127,1,2264,2227
20231001,18112,S08000017,S37000006,Male,377,6,26,29,58,115,83,52,8,0,,
20231001,18112,S08000017,S37000006,Female,362,11,26,27,54,130,61,37,16,0,,
20231001,18112,S08000017,S37000006,All,739,17,52,56,112,245,144,89,24,1,362,377
20231001,18151,S08000017,S37000006,Male,1941,70,207,175,371,582,291,187,58,0,,
20231001,18151,S08000017,S37000006,Female,2079,65,188,183,410,615,300,229,89,0,,
20231001,18151,S08000017,S37000006,All,4020,135,395,358,781,1197,591,416,147,1,2079,1941
20231001,18184,S08000017,S37000006,Male,3271,126,360,333,733,873,450,290,106,0,,
20231001,18184,S08000017,S37000006,Female,3449,124,351,284,761,971,490,333,135,0,,
20231001,18184,S08000017,S37000006,All,6720,250,711,617,1494,1844,940,623,241,1,3449,3271
20231001,18199,S08000017,S37000006,Male,3151,95,268,306,589,898,544,351,100,0,,
20231001,18199,S08000017,S37000006,Female,3324,86,285,255,582,942,576,409,189,0,,
20231001,18199,S08000017,S37000006,All,6475,181,553,561,1171,1840,1120,760,289,1,3324,3151
20231001,18216,S08000017,S37000006,Male,1868,71,191,167,412,522,248,201,56,0,,
20231001,18216,S08000017,S37000006,Female,2066,49,201,185,393,583,312,249,94,0,,
20231001,18216,S08000017,S37000006,All,3934,120,392,352,805,1105,560,450,150,1,2066,1868
20231001,18235,S08000017,S37000006,Male,949,30,84,80,164,315,156,94,26,0,,
20231001,18235,S08000017,S37000006,Female,907,20,61,64,140,331,155,95,41,0,,
20231001,18235,S08000017,S37000006,All,1856,50,145,144,304,646,311,189,67,1,907,949
20231001,18240,S08000017,S37000006,Male,2476,76,192,231,490,684,459,275,69,0,,
20231001,18240,S08000017,S37000006,Female,2480,72,192,207,417,715,435,312,130,0,,
20231001,18240,S08000017,S37000006,All,4956,148,384,438,907,1399,894,587,199,1,2480,2476
20231001,18254,S08000017,S37000006,Male,1380,54,106,126,316,420,212,112,34,0,,
20231001,18254,S08000017,S37000006,Female,1431,39,122,135,299,434,212,137,53,0,,
20231001,18254,S08000017,S37000006,All,2811,93,228,261,615,854,424,249,87,1,1431,1380
20231001,18273,S08000017,S37000006,Male,3369,106,372,396,848,980,378,221,68,0,,
20231001,18273,S08000017,S37000006,Female,3502,114,356,363,761,1041,423,320,124,0,,
20231001,18273,S08000017,S37000006,All,6871,220,728,759,1609,2021,801,541,192,1,3502,3369
20231001,18288,S08000017,S37000006,Male,1927,95,201,241,462,599,195,103,31,0,,
20231001,18288,S08000017,S37000006,Female,1867,77,197,204,460,579,194,112,44,0,,
