Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20220401,16550,S08000016,S37000025,Female,2334,83,297,212,486,761,305,149,41,,,
20220401,16550,S08000016,S37000025,All,4706,197,599,480,944,1515,599,296,76,1,2334,2372
20220401,16564,S08000016,S37000025,Male,1613,63,165,188,308,515,205,127,42,,,
20220401,16564,S08000016,S37000025,Female,1647,58,147,173,315,500,224,156,74,,,
20220401,16564,S08000016,S37000025,All,3260,121,312,361,623,1015,429,283,116,1,1647,1613
20220401,18057,S08000017,S37000006,Male,1506,70,161,165,367,435,177,105,26,,,
20220401,18057,S08000017,S37000006,Female,1457,50,179,148,345,405,168,123,39,,,
20220401,18057,S08000017,S37000006,All,2963,120,340,313,712,840,345,228,65,1,1457,1506
20220401,18095,S08000017,S37000006,Male,2385,117,288,263,518,657,320,172,50,,,
20220401,18095,S08000017,S37000006,Female,2464,115,238,228,547,691,321,237,87,,,
20220401,18095,S08000017,S37000006,All,4849,232,526,491,1065,1348,641,409,137,1,2464,2385
20220401,18112,S08000017,S37000006,Male,369,6,26,25,56,116,80,49,11,,,
20220401,18112,S08000017,S37000006,Female,352,9,26,33,46,119,71,31,17,,,
20220401,18112,S08000017,S37000006,All,721,15,52,58,102,235,151,80,28,1,352,369
20220401,18151,S08000017,S37000006,Male,1898,76,203,184,350,547,293,187,58,,,
20220401,18151,S08000017,S37000006,Female,2001,74,173,181,390,605,292,208,78,,,
20220401,18151,S08000017,S37000006,All,3899,150,376,365,740,1152,585,395,136,1,2001,1898
20220401,18184,S08000017,S37000006,Male,3274,134,354,338,718,894,447,288,101,,,
20220401,18184,S08000017,S37000006,Female,3423,128,340,296,739,993,487,301,139,,,
20220401,18184,S08000017,S37000006,All,6697,262,694,634,1457,1887,934,589,240,1,3423,3274
20220401,18199,S08000017,S37000006,Male,3123,92,290,281,583,906,536,338,97,,,
20220401,18199,S08000017,S37000006,Female,3323,87,289,251,588,951,589,392,176,,,
20220401,18199,S08000017,S37000006,All,6446,179,579,532,1171,1857,1125,730,273,1,3323,3123
20220401,18216,S08000017,S37000006,Male,1890,74,190,182,397,522,283,187,55,,,
20220401,18216,S08000017,S37000006,Female,2066,68,191,188,380,603,312,238,86,,,
20220401,18216,S08000017,S37000006,All,3956,142,381,370,777,1125,595,425,141,1,2066,1890
20220401,18235,S08000017,S37000006,Male,924,30,70,86,164,316,135,99,24,,,
20220401,18235,S08000017,S37000006,Female,909,21,64,72,139,328,159,87,39,,,
20220401,18235,S08000017,S37000006,All,1833,51,134,158,303,644,294,186,63,1,909,924
20220401,18240,S08000017,S37000006,Male,2440,83,193,225,464,714,443,257,61,,,
20220401,18240,S08000017,S37000006,Female,2449,66,190,217,402,713,426,296,139,,,
20220401,18240,S08000017,S37000006,All,4889,149,383,442,866,1427,869,553,200,1,2449,2440
20220401,18254,S08000017,S37000006,Male,1365,48,112,135,301,431,202,109,27,,,
20220401,18254,S08000017,S37000006,Female,1430,44,120,138,289,434,212,132,61,,,
20220401,18254,S08000017,S37000006,All,2795,92,232,273,590,865,414,241,88,1,1430,1365
20220401,18273,S08000017,S37000006,Male,3242,106,368,348,795,979,371,211,64,,,
20220401,18273,S08000017,S37000006,Female,3382,118,355,320,725,1028,408,317,111,,,
