gp_number,q1_positive,q2_positive,q3_positive
25525,85.92,84.9,76.08
62609,47.55,84.13,53.88
76211,87.15,94.66,89.76
13496,93.67,94.32,85.6
60139,74.04,87.2,76.68
80768,69.63,92.16,67.3
11005,47.43,82.47,50.61
25582,76.19,83.83,71.55
21760,72.85,85.5,69.5
25506,86.25,79.13,76.26
71401,70.53,83.81,71.24
25460,55.21,76.01,53.24
60196,80.1,94.79,76.33
25402,83.08,91.23,75.12
20998,61.65,85.56,61.61
77125,80.62,85.37,79.65
40296,59.93,80.53,60.96
43114,72.94,97.37,76.97
77111,75.9,95.81,69.33
40084,79.34,81,76.2
14291,63.19,62.08,61.71
31244,58.99,87.62,57.31
31634,41.78,62.87,40.43
21830,68.44,75.45,64.38
21204,86.86,94,80.94
52429,70.83,86.6,66.97
25441,60.36,63.35,60.65
71011,76.99,92.97,75.16
84345,88.44,92.42,80.62
86336,75.18,73.32,70.76
80908,47.52,81.88,47.34
32411,82.18,88.06,75.47
55573,86.4,93.83,83.44
49041,68.87,67.38,64.1
76122,81.38,93.07,72.57
21755,70.05,89.56,60.79
11289,70.37,91.59,68.23
77074,72.05,89.29,64.97
87305,56.16,89.37,60.01
40154,79.65,81.32,73.6
49286,80.75,89.01,72.26
80096,74.44,91.56,74.08
71420,80.43,95.82,84.34
13195,85.08,85.8,78.99
87324,68.89,89.16,63.99
14249,62.96,80.04,66.26
40046,58.83,75.09,53.05
49676,77.73,89.4,72.92
43030,73.37,90.1,67.48
70569,58.2,79.61,52.96
33057,85.72,86.98,78.5
55841,65.61,71.11,62.99
80522,63.97,95.27,72.81
76033,21,64.87,23.58
55131,51.94,65.01,60.47
62991,67.38,89.41,68.31
77093,70.96,85.47,68.19
20663,58.83,89.52,61.51
16013,64.74,62.75,69.6
30951,67.26,76.85,67.64
11414,47.21,79.53,52.9
80556,62.52,93.69,55.24
31550,33.34,72.91,36.93
18574,93.11,100,89.92
84129,92.25,100,90.86
39087,92.17,97.93,91.2
40563,64.55,84.48,68.58
31206,70.31,92.66,60.56
55304,85.8,93.32,88.01
32622,94.52,95.19,93.13
16085,47.2,69.26,50.42
40210,69.27,77.99,73.67
49271,77.48,73.31,78.7
18254,100,99.44,99.47
49197,91.08,93.98,90.55
