GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Ethnic group in Scotland [S] : Total\ Ethnic group (Scotland) - Unit : Persons,Ethnic group in Scotland [S] : White - Unit : Persons,Ethnic group in Scotland [S] : White\ Scottish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other British - Unit : Persons,Ethnic group in Scotland [S] : White\ Irish - Unit : Persons,Ethnic group in Scotland [S] : White\ Gypsy/Traveller - Unit : Persons,Ethnic group in Scotland [S] : White\ Polish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other White - Unit : Persons,Ethnic group in Scotland [S] : Mixed or multiple ethnic groups\ Any mixed or multiple ethnic groups - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Pakistani; Pakistani Scottish or Pakistani British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Indian; Indian Scottish or Indian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Bangladeshi; Bangladeshi Scottish or Bangladeshi British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Chinese; Chinese Scottish or Chinese British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Other Asian - Unit : Persons,Ethnic group in Scotland [S] : African - Unit : Persons,Ethnic group in Scotland [S] : African\ African; African Scottish or African British - Unit : Persons,Ethnic group in Scotland [S] : African\ Other African - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Caribbean; Caribbean Scottish or Caribbean British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Black; Black Scottish or Black British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Other Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Arab; Arab Scottish or Arab British - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Other ethnic group - Unit : Persons
S01007250,Forfar East - 03,Lower Super Output Areas and Data Zones,LSOADZ,822,814,740,48,6,2,12,6,2,4,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0
S01007251,Forfar East - 04,Lower Super Output Areas and Data Zones,LSOADZ,523,519,474,30,3,0,7,5,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
S01007252,Forfar East - 05,Lower Super Output Areas and Data Zones,LSOADZ,811,807,754,37,1,0,13,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01007253,Forfar East - 06,Lower Super Output Areas and Data Zones,LSOADZ,798,796,737,47,3,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
S01007254,Forfar Central - 01,Lower Super Output Areas and Data Zones,LSOADZ,816,806,728,30,1,2,16,29,0,0,0,0,0,0,0,6,6,0,0,0,0,0,4,4,0
S01007255,Forfar Central - 02,Lower Super Output Areas and Data Zones,LSOADZ,792,789,712,30,4,1,23,19,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S01007256,Forfar Central - 03,Lower Super Output Areas and Data Zones,LSOADZ,799,781,695,38,6,1,26,15,3,8,5,0,0,1,2,1,1,0,1,1,0,0,5,5,0
S01007257,Forfar Central - 04,Lower Super Output Areas and Data Zones,LSOADZ,606,582,518,31,4,1,12,16,5,17,9,0,0,8,0,1,1,0,0,0,0,0,1,0,1
S01007258,Forfar Central - 05,Lower Super Output Areas and Data Zones,LSOADZ,886,876,769,60,2,1,9,35,6,2,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0
S01007259,Forfar Central - 06,Lower Super Output Areas and Data Zones,LSOADZ,856,849,788,29,10,3,6,13,1,5,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1
S01007260,Forfar West - 01,Lower Super Output Areas and Data Zones,LSOADZ,896,878,823,32,1,2,12,8,7,4,0,0,1,2,1,5,5,0,1,1,0,0,1,1,0
S01007261,Forfar West - 02,Lower Super Output Areas and Data Zones,LSOADZ,782,770,714,40,3,4,2,7,0,5,4,1,0,0,0,5,5,0,0,0,0,0,2,2,0
S01007262,Forfar West - 03,Lower Super Output Areas and Data Zones,LSOADZ,712,707,673,16,2,1,4,11,1,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0
S01007263,Forfar West - 04,Lower Super Output Areas and Data Zones,LSOADZ,777,772,735,27,6,1,0,3,0,3,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0
S01007264,Forfar West - 05,Lower Super Output Areas and Data Zones,LSOADZ,774,769,727,34,2,1,3,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01007265,Forfar West - 06,Lower Super Output Areas and Data Zones,LSOADZ,1109,1098,1017,50,5,2,12,12,0,11,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0
S01007266,Kirriemuir Landward - 01,Lower Super Output Areas and Data Zones,LSOADZ,678,671,598,58,1,1,0,13,0,5,0,0,0,0,5,0,0,0,2,0,2,0,0,0,0
S01007267,Kirriemuir Landward - 02,Lower Super Output Areas and Data Zones,LSOADZ,521,513,469,35,1,1,1,6,2,6,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0
S01007268,Kirriemuir Landward - 03,Lower Super Output Areas and Data Zones,LSOADZ,596,592,495,91,1,0,2,3,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0
S01007269,Kirriemuir Landward - 04,Lower Super Output Areas and Data Zones,LSOADZ,528,522,455,60,0,0,1,6,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0
S01007270,Kirriemuir Landward - 05,Lower Super Output Areas and Data Zones,LSOADZ,457,453,395,46,3,0,1,8,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
S01007271,Kirriemuir - 01,Lower Super Output Areas and Data Zones,LSOADZ,987,984,884,82,3,1,1,13,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
S01007272,Kirriemuir - 02,Lower Super Output Areas and Data Zones,LSOADZ,864,857,815,33,2,1,2,4,0,3,0,1,0,0,2,0,0,0,3,3,0,0,1,1,0
S01007273,Kirriemuir - 03,Lower Super Output Areas and Data Zones,LSOADZ,669,654,603,45,5,0,0,1,4,4,4,0,0,0,0,3,3,0,3,0,3,0,1,0,1
